Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Gender
Halil Mutlu (TUR),55.62,137.5,167.5,305,Men
Wu Wenxiong (CHN),55.48,125,162.5,287.5,Men
Zhang Xiangxiang (CHN),55.94,125,162.5,287.5,Men
Wang Shin-yuan (TPE),55.38,125,160,285,Men
Sergio Álvarez (CUB),55.66,120,155,275,Men
Adrian Jigău (ROM),55.72,122.5,152.5,275,Men
Vitali Dzerbianiou (BLR),55.96,125,150,275,Men
Yang Chin-yi (TPE),55.58,120,150,270,Men
Oleksandr Likhvald (UKR),55.86,120,155,270,Men
Hwang Kyu-dong (KOR),55.94,115,152.5,267.5,Men
Nelson Castro (COL),55.32,115,145,260,Men
Luis Medrano (GUA),55.94,115,142.5,257.5,Men
Koki Tagashira (JPN),55.44,112.5,140,252.5,Men
Éric Bonnel (FRA),55.7,112.5,140,252.5,Men
Yasuji Kikuzuma (JPN),55.82,105,145,250,Men
Thandava Murthy Muthu (IND),55.9,110,135,245,Men
Mehmet Yağcı (AUS),55.94,105,130,235,Men
Orlando Vásquez (NCA),55.84,102.5,130,232.5,Men
Gino Soupprayen (MRI),55.88,95,115,210,Men
Martinho de Araújo (IOA),55.54,67.5,90,157.5,Men
Manuel Minginfel (FSM),55.7,-1,-1,-1,Men
Ivan Ivanov (BUL),55.92,130,162.5,292.5,Men
Tara Nott (USA),47.48,82.5,102.5,185,Women
Raema Lisa Rumbewas (INA),47.98,80,105,185,Women
Sri Indriyani (INA),47.28,82.5,100,182.5,Women
Kay Thi Win (MYA),47.48,80,100,180,Women
Robin Goad (USA),47.66,77.5,100,177.5,Women
Kaori Niyanagi (JPN),47.66,75,100,175,Women
Eva Giganti (ITA),46.56,77.5,92.5,170,Women
Sabrina Richard (FRA),46.88,70,87.5,157.5,Women
Maria Elisabete Jorge (BRA),47.4,60,75,135,Women
Dika Toua (PNG),47.36,50,67.5,117.5,Women
Donka Mincheva (BUL),47.62,-1,-1,-1,Women
Izabela Dragneva (BUL),47.78,85,105,190,Women
Nikolaj Pešalov (CRO),61.56,150,175,325,Men
Leonidas Sabanis (GRE),61.3,147.5,170,317.5,Men
Henadzi Aliashchuk (BLR),61.68,142.5,175,317.5,Men
Le Maosheng (CHN),61.28,140,175,315,Men
Mehdi Panzvan (IRI),61.52,140,162.5,302.5,Men
Hiroshi Ikehata (JPN),61.78,135,165,300,Men
Vladimir Popov (MDA),61.56,135,160,295,Men
Elkhan Suleymanov (AZE),61.84,130,162.5,292.5,Men
Yurik Sarkisyan (AUS),61.74,125,165,290,Men
